Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CAB2918_R1	0.5064636862015615	0.8881699562678305
CAB2918_R2	0.28590241197671196	0.24889998837386085
CAB2919_R1	0.3894088312620875	0.34202432056978316
CAB2919_R2	0.1863547221169813	0.27914069129200025
CAB2920_R1	0.2973102773038562	0.42089105521931436
CAB2920_R2	0.16178932760912654	0.0
CAB2921_R1	0.32246176524783493	0.7741943606101078
CAB2921_R2	0.12743963641649128	0.0
CAB2922_R1	0.3298122874280555	0.6823029798326796
CAB2922_R2	0.16697890115812275	0.0
CAB2923_R1	0.29846347782003524	0.8379436788122738
CAB2923_R2	0.11430930501110963	0.0
CAB2924_R1	0.21159854648181278	0.5218375344432735
CAB2924_R2	0.0	0.0
CAB2925_R1	0.21019399894766333	0.49712657423415174
CAB2925_R2	0.10017698389378232	0.0
CAB2927_R1	0.5835014437267155	0.7538062406547031
CAB2927_R2	0.3041443314549239	0.23859845162885795
CAB2931_R1	0.18741367868965975	0.535709581555684
CAB2931_R2	0.1236252880513117	0.11396608238926098
ESM2880_R1	0.33298936653735983	0.5883219529210311
ESM2880_R2	0.15954157726172483	0.25169913431352864
ESM2882_R1	0.3507694699019617	0.7617584283751333
ESM2882_R2	0.19415052748168857	0.18951640250947524
ESM2883_R1	0.526577690875463	1.0958543885759324
ESM2883_R2	0.29986939701647203	0.2879579362710814
ESM2886_R1	0.37744650349381503	0.8848378082130925
ESM2886_R2	0.20491295577861368	0.1884242334666385
ESM2887_R1	0.3352885348435579	0.7142119623254781
ESM2887_R2	0.19812504331664788	0.1671138594885736
ESM2888_R1	0.5110008296633974	0.9697714174358172
ESM2888_R2	0.24631127217342763	0.3200356580984073
ESM2893_R1	0.3375218193814571	0.7380658075328717
ESM2893_R2	0.1745898513080493	0.14668053084780305
ESM2895_R1	0.3488808652724746	0.705310497979007
ESM2895_R2	0.18804019618807213	0.18121035898582913
ESM2896_R1	0.35974566165845995	0.7962101763393796
ESM2896_R2	0.1942959751974524	0.16575656187309734
ESM2897_R1	0.341522826325526	0.7604529207036025
ESM2897_R2	0.2026796632489888	0.1616734079578591
MAR2971_R1	0.3611981365855252	0.9258476667900137
MAR2971_R2	0.20096551518410058	0.1557580402186721
MAR2972_R1	0.40819549473120625	0.8673793155912575
MAR2972_R2	0.24280843122546275	0.2903782765656883
MAR2973_R1	0.2917391962724066	0.5908413341650216
MAR2973_R2	0.14816183467834365	0.10808242604758683
MAR2974_R1	0.24320652640421725	0.41013204111506474
MAR2974_R2	0.0	0.0
MAR2975_R1	0.37053618058895055	0.7221484305268285
MAR2975_R2	0.20522632484752953	0.10818052663690084
MAR2977_R1	0.23138492936637012	0.6009757964220798
MAR2977_R2	0.11078159380082274	0.0
MAR2979_R1	0.3823753715388225	0.5486444264831135
MAR2979_R2	0.2021464514783334	0.21922963271975107
MAR2980_R1	0.2639374176380391	0.561401874372722
MAR2980_R2	0.20452035481248418	0.13389150346834242
MAR2981_R1	0.5781025675827253	0.9138669017380346
MAR2981_R2	0.37968198557011545	0.1846369796470343
MAR2990_R1	5.382820086809871	0.6687615017714297
MAR2990_R2	5.860077653164697	0.21396648144604402
SOR3003_R1	0.21596162190596008	0.8654706237409915
SOR3003_R2	0.19622958012445244	0.27906052209915955
SOR3005_R1	0.3961512918529534	0.7234440091133546
SOR3005_R2	0.22328989555231443	0.28445868008884573
SOR3006_R1	0.2809247814802291	0.5394286010814517
SOR3006_R2	0.20035033105466793	0.2207689177218385
SOR3007_R1	0.45493646792659226	0.809539377963793
SOR3007_R2	0.23934445101959143	0.26962652937577736
SOR3011_R1	0.5721661151231925	0.9335525548311321
SOR3011_R2	0.32858298028900945	0.2556476290277713
SOR3012_R1	0.34868414226026756	0.7405915214472056
SOR3012_R2	0.22681465138920842	0.23361300819058872
SOR3013_R1	0.3270489276405877	0.7396076586021103
SOR3013_R2	0.18425016310082531	0.11076517587189694
SOR3017_R1	0.18585719773154014	0.5770400750109153
SOR3017_R2	0.10998737888862643	0.10702893312242477
SOR3020_R1	0.31045182615165695	0.4927608686411678
SOR3020_R2	0.17739547257428556	0.10759158250878298
SOR3021_R1	0.2961103289777725	0.7210496169925753
SOR3021_R2	0.19702028015242978	0.2403201334206468
