Sample	%GC	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequences flagged as poor quality	basic_statistics	per_sequence_quality_scores	Total Sequences	sequence_duplication_levels	adapter_content	avg_sequence_length	per_base_sequence_content	Sequence length	per_tile_sequence_quality	total_deduplicated_percentage	File type	per_base_n_content	Filename	per_sequence_gc_content	overrepresented_sequences
CAB2918_R1	43.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1789072.0	fail	pass	146.0	fail	146.0	warn	9.955300924998141	Conventional base calls	pass	CAB2918_R1_.fastq	warn	warn
CAB2918_R2	41.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1789072.0	fail	pass	151.0	fail	151.0	warn	17.44485125768549	Conventional base calls	pass	CAB2918_R2_.fastq	pass	warn
CAB2919_R1	43.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1916238.0	fail	pass	146.0	fail	146.0	warn	9.158066753617822	Conventional base calls	pass	CAB2919_R1_.fastq	warn	warn
CAB2919_R2	40.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1916238.0	fail	pass	151.0	fail	151.0	warn	16.82191481298348	Conventional base calls	pass	CAB2919_R2_.fastq	pass	warn
CAB2920_R1	42.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1507516.0	fail	pass	146.0	fail	146.0	warn	11.364509990751257	Conventional base calls	pass	CAB2920_R1_.fastq	pass	warn
CAB2920_R2	40.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1507516.0	fail	pass	151.0	fail	151.0	fail	20.793997748618807	Conventional base calls	pass	CAB2920_R2_.fastq	pass	warn
CAB2921_R1	42.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1747494.0	fail	pass	146.0	fail	146.0	warn	12.024709745744746	Conventional base calls	pass	CAB2921_R1_.fastq	pass	warn
CAB2921_R2	40.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1747494.0	fail	pass	151.0	fail	151.0	fail	20.564175715897655	Conventional base calls	pass	CAB2921_R2_.fastq	pass	warn
CAB2922_R1	42.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1640327.0	fail	pass	146.0	fail	146.0	warn	10.826325104770659	Conventional base calls	pass	CAB2922_R1_.fastq	pass	warn
CAB2922_R2	39.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1640327.0	fail	pass	151.0	fail	151.0	warn	20.050531210216512	Conventional base calls	pass	CAB2922_R2_.fastq	pass	warn
CAB2923_R1	42.0	Sanger / Illumina 1.9	pass	pass	0.0	pass	pass	1540557.0	fail	pass	146.0	fail	146.0	warn	12.502797610645072	Conventional base calls	pass	CAB2923_R1_.fastq	pass	warn
