Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-total_sequences
CAB2918_R1	18.181818181818183	90.04469907500186	43.0	146.0	1789072.0
CAB2918_R2	18.181818181818183	82.55514874231451	41.0	151.0	1789072.0
CAB2919_R1	18.181818181818183	90.84193324638218	43.0	146.0	1916238.0
CAB2919_R2	18.181818181818183	83.17808518701652	40.0	151.0	1916238.0
CAB2920_R1	18.181818181818183	88.63549000924874	42.0	146.0	1507516.0
CAB2920_R2	27.27272727272727	79.2060022513812	40.0	151.0	1507516.0
CAB2921_R1	18.181818181818183	87.97529025425526	42.0	146.0	1747494.0
CAB2921_R2	27.27272727272727	79.43582428410235	40.0	151.0	1747494.0
CAB2922_R1	18.181818181818183	89.17367489522934	42.0	146.0	1640327.0
CAB2922_R2	18.181818181818183	79.94946878978348	39.0	151.0	1640327.0
CAB2923_R1	18.181818181818183	87.49720238935492	42.0	146.0	1540557.0
CAB2923_R2	18.181818181818183	78.69179856800551	40.0	151.0	1540557.0
CAB2924_R1	18.181818181818183	86.36630796198901	42.0	146.0	1452751.0
CAB2924_R2	18.181818181818183	78.84860838642473	40.0	151.0	1452751.0
CAB2925_R1	18.181818181818183	87.84109403199413	42.0	146.0	1463410.0
CAB2925_R2	18.181818181818183	80.664883139149	40.0	151.0	1463410.0
CAB2927_R1	18.181818181818183	89.33011831234496	43.0	146.0	1746868.0
CAB2927_R2	18.181818181818183	82.12237459310568	40.0	151.0	1746868.0
CAB2931_R1	18.181818181818183	89.97708592087659	42.0	146.0	1594334.0
CAB2931_R2	18.181818181818183	81.0405927373255	40.0	151.0	1594334.0
ESM2880_R1	18.181818181818183	90.09334413219761	42.0	146.0	3027424.0
ESM2880_R2	18.181818181818183	84.43807188194589	39.0	151.0	3027424.0
ESM2882_R1	18.181818181818183	93.04720985063986	42.0	146.0	4143177.0
ESM2882_R2	18.181818181818183	86.22813135482536	39.0	151.0	4143177.0
ESM2883_R1	18.181818181818183	92.16235518560796	43.0	146.0	3072671.0
ESM2883_R2	18.181818181818183	87.07097283238143	40.0	151.0	3072671.0
ESM2886_R1	18.181818181818183	91.62188142490925	42.0	146.0	2340994.0
ESM2886_R2	27.27272727272727	83.84573978377063	39.0	151.0	2340994.0
ESM2887_R1	18.181818181818183	91.64551770623541	42.0	146.0	2828012.0
ESM2887_R2	18.181818181818183	85.11828016952433	40.0	151.0	2828012.0
ESM2888_R1	18.181818181818183	90.04036853201585	42.0	146.0	1893539.0
ESM2888_R2	18.181818181818183	80.3445493611982	40.0	151.0	1893539.0
ESM2893_R1	18.181818181818183	92.21263686292458	42.0	146.0	2873592.0
ESM2893_R2	27.27272727272727	87.11764182076344	39.0	151.0	2873592.0
ESM2895_R1	18.181818181818183	91.00055408405572	42.0	146.0	2503720.0
ESM2895_R2	18.181818181818183	83.7546805850879	39.0	151.0	2503720.0
ESM2896_R1	18.181818181818183	91.29890693340748	42.0	146.0	2281056.0
ESM2896_R2	18.181818181818183	81.99428295845621	40.0	151.0	2281056.0
ESM2897_R1	18.181818181818183	90.11626766503996	42.0	146.0	2041152.0
ESM2897_R2	18.181818181818183	82.47196229793792	40.0	151.0	2041152.0
MAR2971_R1	18.181818181818183	91.90025365592679	43.0	146.0	2815906.0
MAR2971_R2	18.181818181818183	87.0576245233114	40.0	151.0	2815906.0
MAR2972_R1	18.181818181818183	90.33531980718827	43.0	146.0	2076946.0
MAR2972_R2	18.181818181818183	82.72123914441048	40.0	151.0	2076946.0
MAR2973_R1	18.181818181818183	91.84144905952435	42.0	146.0	2879284.0
MAR2973_R2	27.27272727272727	86.53586562635314	39.0	151.0	2879284.0
MAR2974_R1	18.181818181818183	89.52887605006676	42.0	146.0	1747486.0
MAR2974_R2	27.27272727272727	76.46692656459183	40.0	151.0	1747486.0
MAR2975_R1	18.181818181818183	92.52836476195084	42.0	146.0	3915677.0
MAR2975_R2	18.181818181818183	87.12134620704553	40.0	151.0	3915677.0
MAR2977_R1	18.181818181818183	88.96891408663579	42.0	146.0	1567950.0
MAR2977_R2	18.181818181818183	76.73516713712607	40.0	151.0	1567950.0
MAR2979_R1	18.181818181818183	92.37045601406159	42.0	146.0	3681984.0
MAR2979_R2	27.27272727272727	83.39317009142984	40.0	151.0	3681984.0
MAR2980_R1	18.181818181818183	89.95308180069924	43.0	146.0	1846271.0
MAR2980_R2	18.181818181818183	82.72734962444451	40.0	151.0	1846271.0
MAR2981_R1	18.181818181818183	91.28090507735229	43.0	146.0	2843959.0
MAR2981_R2	18.181818181818183	85.05708902393528	41.0	151.0	2843959.0
MAR2990_R1	27.27272727272727	92.14452823766972	42.0	146.0	2795765.0
MAR2990_R2	36.36363636363637	86.95956987507063	40.0	151.0	2795765.0
SOR3003_R1	18.181818181818183	92.59241467660296	42.0	146.0	4125270.0
SOR3003_R2	18.181818181818183	87.49173039409861	40.0	151.0	4125270.0
SOR3005_R1	18.181818181818183	91.75369543585504	42.0	146.0	3147030.0
SOR3005_R2	18.181818181818183	82.57241784025632	40.0	151.0	3147030.0
SOR3006_R1	18.181818181818183	92.43083321044492	42.0	146.0	3545789.0
SOR3006_R2	18.181818181818183	84.09710787129211	40.0	151.0	3545789.0
SOR3007_R1	18.181818181818183	92.7597176765592	43.0	146.0	4395339.0
SOR3007_R2	18.181818181818183	88.13747540276978	41.0	151.0	4395339.0
SOR3011_R1	18.181818181818183	90.16767746329069	43.0	146.0	2005886.0
SOR3011_R2	18.181818181818183	84.62006849814446	40.0	151.0	2005886.0
SOR3012_R1	18.181818181818183	90.68010783255221	42.0	146.0	2794793.0
SOR3012_R2	18.181818181818183	83.94789225383963	40.0	151.0	2794793.0
SOR3013_R1	18.181818181818183	91.0708834240386	42.0	146.0	3068654.0
SOR3013_R2	18.181818181818183	84.17352257074674	40.0	151.0	3068654.0
SOR3017_R1	18.181818181818183	90.09963755203918	42.0	146.0	2095695.0
SOR3017_R2	18.181818181818183	83.59379612256348	39.0	151.0	2095695.0
SOR3020_R1	18.181818181818183	90.45379724806229	42.0	146.0	2564327.0
SOR3020_R2	18.181818181818183	83.41108599470472	40.0	151.0	2564327.0
SOR3021_R1	18.181818181818183	91.95870028571592	42.0	146.0	3362598.0
SOR3021_R2	18.181818181818183	85.7322656378452	40.0	151.0	3362598.0
