Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CAB2918_trim_R1	0.5142656939652568	0.8768866825549317
CAB2918_trim_R2	0.2856836013035341	0.24254936815684192
CAB2919_trim_R1	0.39468627634271236	0.3374512997040946
CAB2919_trim_R2	0.18651933170101587	0.2781390268741995
CAB2920_trim_R1	0.3052322399258177	0.4170283148454311
CAB2920_trim_R2	0.1527573657935085	0.0
CAB2921_trim_R1	0.32786726225985907	0.667981045780164
CAB2921_trim_R2	0.1188276320320495	0.0
CAB2922_trim_R1	0.33692774836499534	0.6767102667912386
CAB2922_trim_R2	0.16408439738399253	0.0
CAB2923_trim_R1	0.30228243546982514	0.7277909150050083
CAB2923_trim_R2	0.11248679106301396	0.0
CAB2924_trim_R1	0.21641455961933198	0.512062068482926
CAB2924_trim_R2	0.0	0.0
CAB2925_trim_R1	0.21299723096386836	0.49184832981463544
CAB2925_trim_R2	0.1024233213574985	0.0
CAB2927_trim_R1	0.5882632345699648	0.7450692970963821
CAB2927_trim_R2	0.3012263701140151	0.23641159426912317
CAB2931_trim_R1	0.19259871596433042	0.5287010566723215
CAB2931_trim_R2	0.120017594619178	0.10754478766041324
ESM2880_trim_R1	0.3394203105309461	0.583416903390217
ESM2880_trim_R2	0.15647531571298895	0.14745394555568142
ESM2882_trim_R1	0.35692787208681626	0.7607764370129753
ESM2882_trim_R2	0.19678716595709186	0.19279445659352715
ESM2883_trim_R1	0.5364803932160924	1.0901585200239055
ESM2883_trim_R2	0.29933629740659545	0.2856601673137756
ESM2886_trim_R1	0.3863540944992559	0.7847746930611275
ESM2886_trim_R2	0.19288329340540697	0.17932542367213092
ESM2887_trim_R1	0.34354476899938546	0.7112045327175119
ESM2887_trim_R2	0.19596250381257319	0.16388430211505783
ESM2888_trim_R1	0.5212460144460571	0.9657228351927913
ESM2888_trim_R2	0.24330791170982363	0.3125682937626431
ESM2893_trim_R1	0.343310720952514	0.8349384200373487
ESM2893_trim_R2	0.16595368183606518	0.13713362131393808
ESM2895_trim_R1	0.3542639950311901	0.7048148848262266
ESM2895_trim_R2	0.1846847911209527	0.1782712457130512
ESM2896_trim_R1	0.3649531758627104	0.791280833950712
ESM2896_trim_R2	0.1900150258464042	0.1625983070292106
ESM2897_trim_R1	0.34599806757497187	0.7553086173659012
ESM2897_trim_R2	0.20599795396366608	0.16442654435204632
MAR2971_trim_R1	0.3677703253456043	0.8206285176978293
MAR2971_trim_R2	0.20143174120175064	0.15024490702176077
MAR2972_trim_R1	0.41665489167435255	0.8625460188108712
MAR2972_trim_R2	0.2420082056710076	0.28758384864981523
MAR2973_trim_R1	0.29796188043948646	0.5876511272290611
MAR2973_trim_R2	0.13850227092985506	0.10077906148625768
MAR2974_trim_R1	0.23593468712652604	0.317437105094626
MAR2974_trim_R2	0.0	0.0
MAR2975_trim_R1	0.3802105798387894	0.7172339313632716
MAR2975_trim_R2	0.202219443270452	0.10253571502296255
MAR2977_trim_R1	0.23626302707948388	0.6005622549280132
MAR2977_trim_R2	0.10215287177260769	0.0
MAR2979_trim_R1	0.3863871441809962	0.4455343018412258
MAR2979_trim_R2	0.20625450477857551	0.2209974164802351
MAR2980_trim_R1	0.26787646555293826	0.5584167796545667
MAR2980_trim_R2	0.2025545963023278	0.12899649136359687
MAR2981_trim_R1	0.5830742222949551	0.9052397458976152
MAR2981_trim_R2	0.37460761414523114	0.1802743353615901
MAR2990_trim_R1	0.29799210560424816	0.6260128632118419
MAR2990_trim_R2	0.21358180634015134	0.0
SOR3003_trim_R1	0.2177682110817996	0.8670910025532599
SOR3003_trim_R2	0.17314589391191806	0.15536889708891397
SOR3005_trim_R1	0.4069063561104146	0.7265393106543422
SOR3005_trim_R2	0.22795893111246376	0.2931620382874257
SOR3006_trim_R1	0.28674886027512786	0.5351674000177824
SOR3006_trim_R2	0.20289199146087286	0.22129887153038488
SOR3007_trim_R1	0.4623782791623461	0.805234740944685
SOR3007_trim_R2	0.2408791313571948	0.26543187804674556
SOR3011_trim_R1	0.5817250583671506	0.936609960134631
SOR3011_trim_R2	0.335788664094549	0.25719423135802133
SOR3012_trim_R1	0.35683852734581173	0.8427648506851655
SOR3012_trim_R2	0.23165329753581362	0.2360863096083832
SOR3013_trim_R1	0.33597843885285583	0.7340038408381516
SOR3013_trim_R2	0.1876592800412726	0.10915158197325217
SOR3017_trim_R1	0.18140170556983512	0.5785366390550349
SOR3017_trim_R2	0.10607430654111427	0.10476163068672636
SOR3020_trim_R1	0.31887860884334557	0.4867771117310837
SOR3020_trim_R2	0.18166543372466804	0.10789624710148049
SOR3021_trim_R1	0.3025032212301232	0.7174743795083859
SOR3021_trim_R2	0.20091420680391717	0.24141146789365822
