Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CAB2918_trim_R1	CAB2918_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1703983.0	0.0	36-146	43.0	10.409109267640348	141.6168471164325	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
CAB2918_trim_R2	CAB2918_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1703983.0	0.0	36-151	40.0	17.78676447706023	140.46054684817864	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2919_trim_R1	CAB2919_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1829301.0	0.0	36-146	43.0	9.524831964363182	141.7936474095843	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
CAB2919_trim_R2	CAB2919_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1829301.0	0.0	36-151	40.0	17.296597584944237	140.28990089657196	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2920_trim_R1	CAB2920_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1415971.0	0.0	36-146	42.0	11.763528496292587	141.8244335512521	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2920_trim_R2	CAB2920_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1415971.0	0.0	36-151	39.0	21.399719644488105	138.90912666996712	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2921_trim_R1	CAB2921_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1649448.0	0.0	36-146	42.0	12.62162746034638	141.77065115117298	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2921_trim_R2	CAB2921_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1649448.0	0.0	36-151	39.0	21.339780042575686	138.94437108656956	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2922_trim_R1	CAB2922_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1541280.0	0.0	36-146	42.0	11.191138897249395	142.01000142738502	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2922_trim_R2	CAB2922_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1541280.0	0.0	36-151	39.0	20.830455360374774	138.0094265805045	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2923_trim_R1	CAB2923_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1452615.0	0.0	36-146	42.0	13.10269603524862	141.9349008512235	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2923_trim_R2	CAB2923_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1452615.0	0.0	36-151	39.0	22.75252335444762	138.05831620904368	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2924_trim_R1	CAB2924_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1371904.0	0.0	36-146	42.0	14.35299378864055	141.92643217018102	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2924_trim_R2	CAB2924_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1371904.0	0.0	36-151	39.0	20.436378853572148	138.88947987614293	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
CAB2925_trim_R1	CAB2925_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1386403.0	0.0	36-146	42.0	12.768307988732483	141.94038241405997	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
CAB2925_trim_R2	CAB2925_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1386403.0	0.0	36-151	39.0	18.805852387255094	138.8874843750338	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2927_trim_R1	CAB2927_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1663201.0	0.0	36-146	43.0	11.17965832691349	141.5769356800531	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
CAB2927_trim_R2	CAB2927_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1663201.0	0.0	36-151	40.0	18.30802981085279	140.29720220225937	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2931_trim_R1	CAB2931_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1507279.0	0.0	36-146	42.0	10.471743105351534	141.9972831838034	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
CAB2931_trim_R2	CAB2931_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1507279.0	0.0	36-151	39.0	19.80972670569681	138.36855618634638	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
ESM2880_trim_R1	ESM2880_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2859876.0	0.0	36-146	42.0	10.496488685383783	141.83489004418374	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
ESM2880_trim_R2	ESM2880_trim_R2_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2859876.0	0.0	36-151	39.0	15.977885306122195	138.16195772124385	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
ESM2882_trim_R1	ESM2882_trim_R1_.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3932167.0	0.0	36-146	42.0	7.359483639697874	141.82875193245863	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
