Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
CAB2918_trim_R1	89.59089073235965	43.0	141.6168471164325	18.181818181818183	1703983.0
CAB2918_trim_R2	82.21323552293977	40.0	140.46054684817864	18.181818181818183	1703983.0
CAB2919_trim_R1	90.47516803563681	43.0	141.7936474095843	18.181818181818183	1829301.0
CAB2919_trim_R2	82.70340241505576	40.0	140.28990089657196	18.181818181818183	1829301.0
CAB2920_trim_R1	88.2364715037074	42.0	141.8244335512521	18.181818181818183	1415971.0
CAB2920_trim_R2	78.6002803555119	39.0	138.90912666996712	18.181818181818183	1415971.0
CAB2921_trim_R1	87.37837253965363	42.0	141.77065115117298	18.181818181818183	1649448.0
CAB2921_trim_R2	78.66021995742432	39.0	138.94437108656956	18.181818181818183	1649448.0
CAB2922_trim_R1	88.8088611027506	42.0	142.01000142738502	18.181818181818183	1541280.0
CAB2922_trim_R2	79.16954463962523	39.0	138.0094265805045	18.181818181818183	1541280.0
CAB2923_trim_R1	86.89730396475139	42.0	141.9349008512235	18.181818181818183	1452615.0
CAB2923_trim_R2	77.24747664555238	39.0	138.05831620904368	18.181818181818183	1452615.0
CAB2924_trim_R1	85.64700621135945	42.0	141.92643217018102	18.181818181818183	1371904.0
CAB2924_trim_R2	79.56362114642785	39.0	138.88947987614293	18.181818181818183	1371904.0
CAB2925_trim_R1	87.23169201126751	42.0	141.94038241405997	18.181818181818183	1386403.0
CAB2925_trim_R2	81.1941476127449	39.0	138.8874843750338	18.181818181818183	1386403.0
CAB2927_trim_R1	88.82034167308652	43.0	141.5769356800531	18.181818181818183	1663201.0
CAB2927_trim_R2	81.69197018914721	40.0	140.29720220225937	18.181818181818183	1663201.0
CAB2931_trim_R1	89.52825689464846	42.0	141.9972831838034	18.181818181818183	1507279.0
CAB2931_trim_R2	80.19027329430318	39.0	138.36855618634638	18.181818181818183	1507279.0
ESM2880_trim_R1	89.50351131461622	42.0	141.83489004418374	18.181818181818183	2859876.0
ESM2880_trim_R2	84.02211469387781	39.0	138.16195772124385	18.181818181818183	2859876.0
ESM2882_trim_R1	92.64051636030213	42.0	141.82875193245863	18.181818181818183	3932167.0
ESM2882_trim_R2	85.859585108799	39.0	138.89573408250465	18.181818181818183	3932167.0
ESM2883_trim_R1	91.86385017104294	43.0	141.6839470268777	18.181818181818183	2924804.0
ESM2883_trim_R2	87.23401819536228	40.0	139.81261787114624	18.181818181818183	2924804.0
ESM2886_trim_R1	91.32120437120741	42.0	141.83912096195797	18.181818181818183	2212737.0
ESM2886_trim_R2	83.62891601047923	39.0	138.82046804477892	18.181818181818183	2212737.0
ESM2887_trim_R1	91.2861356694711	42.0	142.17636287282457	18.181818181818183	2662244.0
ESM2887_trim_R2	85.04947825622529	39.0	138.081884680743	18.181818181818183	2662244.0
ESM2888_trim_R1	89.71615556253275	42.0	142.01295494152652	18.181818181818183	1784570.0
ESM2888_trim_R2	79.46572212420581	39.0	137.82988563071217	18.181818181818183	1784570.0
ESM2893_trim_R1	91.73682082300267	42.0	142.00087046849464	18.181818181818183	2727267.0
ESM2893_trim_R2	86.92459724260887	39.0	139.24825328799858	18.181818181818183	2727267.0
ESM2895_trim_R1	90.5962583909467	42.0	142.1558765797575	18.181818181818183	2369984.0
ESM2895_trim_R2	83.56557949922333	39.0	138.40917491426103	18.181818181818183	2369984.0
ESM2896_trim_R1	91.02816115309169	42.0	142.21110131243043	18.181818181818183	2155619.0
ESM2896_trim_R2	81.58732495610171	39.0	138.0102944908168	18.181818181818183	2155619.0
ESM2897_trim_R1	89.686301275034	42.0	142.12881921187838	18.181818181818183	1936427.0
ESM2897_trim_R2	83.18817575142083	39.0	139.09501984841154	18.181818181818183	1936427.0
MAR2971_trim_R1	91.53770617310794	43.0	141.6764612090226	18.181818181818183	2684284.0
MAR2971_trim_R2	87.21179482821935	40.0	140.1210542550639	18.181818181818183	2684284.0
